species	RA	PRED	replicate	block	no_residents	no_dispersers	relevant_taxon	lab
chilomonas_sp	standard	yes	1	1	186	0	protist	zurich
chilomonas_sp	standard	yes	2	1	304	0	protist	zurich
chilomonas_sp	standard	yes	3	1	138	0	protist	zurich
chilomonas_sp	standard	yes	4	1	142	0	protist	zurich
chilomonas_sp	standard	yes	5	1	154	0	protist	zurich
chilomonas_sp	standard	yes	6	1	313	0	protist	zurich
chilomonas_sp	standard	no	1	1	458	0	protist	zurich
chilomonas_sp	standard	no	2	1	340	0	protist	zurich
chilomonas_sp	standard	no	3	1	395	0	protist	zurich
chilomonas_sp	standard	no	4	1	506	0	protist	zurich
chilomonas_sp	standard	no	5	1	496	0	protist	zurich
chilomonas_sp	standard	no	6	1	393	0	protist	zurich
chilomonas_sp	low	yes	1	1	280	5	protist	zurich
chilomonas_sp	low	yes	2	1	215	26	protist	zurich
chilomonas_sp	low	yes	3	1	210	27	protist	zurich
chilomonas_sp	low	yes	4	1	385	3	protist	zurich
chilomonas_sp	low	yes	5	1	457	10	protist	zurich
chilomonas_sp	low	yes	6	1	455	4	protist	zurich
chilomonas_sp	low	no	1	1	537	0	protist	zurich
chilomonas_sp	low	no	2	1	702	0	protist	zurich
chilomonas_sp	low	no	3	1	768	0	protist	zurich
chilomonas_sp	low	no	4	1	645	0	protist	zurich
chilomonas_sp	low	no	5	1	550	0	protist	zurich
chilomonas_sp	low	no	6	1	643	0	protist	zurich
colpidium_sp	standard	yes	1	1	66	1	protist	zurich
colpidium_sp	standard	yes	2	1	49	3	protist	zurich
colpidium_sp	standard	yes	3	1	62	2	protist	zurich
colpidium_sp	standard	yes	4	1	45	1	protist	zurich
colpidium_sp	standard	yes	5	1	57	2	protist	zurich
colpidium_sp	standard	yes	6	1	52	1	protist	zurich
colpidium_sp	standard	no	1	1	58	0	protist	zurich
colpidium_sp	standard	no	2	1	62	0	protist	zurich
colpidium_sp	standard	no	3	1	67	1	protist	zurich
colpidium_sp	standard	no	4	1	53	1	protist	zurich
colpidium_sp	standard	no	5	1	59	0	protist	zurich
colpidium_sp	standard	no	6	1	67	0	protist	zurich
colpidium_sp	low	yes	1	1	43	1	protist	zurich
colpidium_sp	low	yes	2	1	50	3	protist	zurich
colpidium_sp	low	yes	3	1	43	3	protist	zurich
colpidium_sp	low	yes	4	1	50	4	protist	zurich
colpidium_sp	low	yes	5	1	57	6	protist	zurich
colpidium_sp	low	yes	6	1	39	4	protist	zurich
colpidium_sp	low	no	1	1	56	2	protist	zurich
colpidium_sp	low	no	2	1	41	2	protist	zurich
colpidium_sp	low	no	3	1	38	3	protist	zurich
colpidium_sp	low	no	4	1	43	1	protist	zurich
colpidium_sp	low	no	5	1	64	2	protist	zurich
colpidium_sp	low	no	6	1	61	2	protist	zurich
tetrahymena_pyriformis	standard	yes	1	1	134	4	protist	zurich
tetrahymena_pyriformis	standard	yes	2	1	109	9	protist	zurich
tetrahymena_pyriformis	standard	yes	3	1	110	9	protist	zurich
tetrahymena_pyriformis	standard	yes	4	1	189	3	protist	zurich
tetrahymena_pyriformis	standard	yes	5	1	125	2	protist	zurich
tetrahymena_pyriformis	standard	yes	6	1	87	5	protist	zurich
tetrahymena_pyriformis	standard	no	1	1	103	2	protist	zurich
tetrahymena_pyriformis	standard	no	2	1	145	5	protist	zurich
tetrahymena_pyriformis	standard	no	3	1	80	3	protist	zurich
tetrahymena_pyriformis	standard	no	4	1	147	3	protist	zurich
tetrahymena_pyriformis	standard	no	5	1	148	2	protist	zurich
tetrahymena_pyriformis	standard	no	6	1	125	3	protist	zurich
tetrahymena_pyriformis	low	yes	1	1	65	7	protist	zurich
tetrahymena_pyriformis	low	yes	2	1	67	2	protist	zurich
tetrahymena_pyriformis	low	yes	3	1	72	4	protist	zurich
tetrahymena_pyriformis	low	yes	4	1	54	2	protist	zurich
tetrahymena_pyriformis	low	yes	5	1	64	3	protist	zurich
tetrahymena_pyriformis	low	yes	6	1	73	4	protist	zurich
tetrahymena_pyriformis	low	no	1	1	80	4	protist	zurich
tetrahymena_pyriformis	low	no	2	1	129	6	protist	zurich
tetrahymena_pyriformis	low	no	3	1	62	2	protist	zurich
